Empresa, Yhaguy Baterias
,,,,,
NUMERO,DESCRIPCION,DEBE,HABER,SALDO
0 18580188 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,830680,33088590
0 18580186 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,2367000,35455590
0 18580189 93-K95FLM-JRU,DEPOSITO EFECTIVO-, ,16587000,52042590
0 18580189 93-K95FLM-JRU,DEPOSITO CHQ24HS-, ,14524091,66566681
69 116112 73-K95FLM-JRU,CHEQUE DEPN/B69 116112,1090000, ,65476681
0 18580189 93-K95FLM-JRU,DEPOSITO CHQN/BCO-041, ,1090000,66566681
54 8409074 60-SL-PSD,DB X CUOTA:05A12118517006,1500705, ,65065976
69 116118 90-CM-ODL,CLEARING RECBCO17,2200000, ,62865976
69 116085 90-CM-ODL,CLEARING RECBCO17,805231, ,62060745
69 116117 90-CM-ODL,CLEARING RECBCO17,2404003, ,59656742
69 116150 73-K95FLM-LFI,CHEQUE DEPN/B69 116150,870500, ,58786242
69 116151 73-K95FLM-LFI,CHEQUE DEPN/B69 116151,1722958, ,57063284
69 116152 73-K95FLM-LFI,CHEQUE DEPN/B69 116152,1516424, ,55546860
0 18580190 93-K95FLM-LFI,DEPOSITO CHQN/BCO-024, ,4109882,59656742
69 116139 73-K95FLM-LFI,CHEQUE DEPN/B69 116139,2375000, ,57281742
69 116061 73-K95FLM-LFI,CHEQUE DEPN/B69 116061,575000, ,56706742
0 18580191 93-K95FLM-LFI,DEPOSITO CHQN/BCO-031, ,2950000,59656742
0 18280126 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,18615000,78271742
69 116137 73-K95FLM-LFI,CHEQUE DEPN/B69 116137,208300, ,78063442
0 18280126 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,13402325,91465767
0 18280126 93-K95FLM-LFI,DEPOSITO CHQN/BCO-036, ,2614209,94079976
69 116062 73-GS-JDI,CHEQUE DEPN/B69 116062,480000, ,93599976
69 116147 90-CM-ODL,CLEARING RECBCO03,1859300, ,91740676
67 8412973 20-CM-LDP,DESEMBPRESTAMOS: 05053206817, ,509816922,601557598
0 4452377 97-SL-STO,DEBITO X OPERACCAMBIOS,400377555, ,201180043
0 18033077 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,8463909,209643952
0 18033077 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,8520000,218163952
69 116070 73-ML-MEN,CHEQUE DEPN/B69 116070,5000000, ,213163952
0 18146851 93-YUT-SLO,DEPOSITO EFECTIVO-, ,3920000,217083952
69 116153 90-CM-ODL,CLEARING RECBCO03,2888000, ,214195952
0 18033079 93-K95FLM-LFI,DEPOSITO EFECTIVO-, ,27514500,241710452
0 18033079 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,6390000,248100452
0 18033078 93-K95FLM-LFI,DEPOSITO CHQ24HS-, ,48000000,296100452
69 116122 73-FDLM-MIV,CHEQUE DEPN/B69 116122,14170000, ,281930452
69 116044 73-PUE-DFI,CHEQUE DEPN/B69 116044,17158752, ,264771700
84 586925 49-CM-SYS,SIPAP-170804107584 NC586925, ,19852414,284624114
69 116142 90-CM-ODL,CLEARING RECBCO17,4738800, ,279885314
69 116143 90-CM-ODL,CLEARING RECBCO17,222000, ,279663314
67 8418911 20-CM-PSD,DESEMBPRESTAMOS: 05A12136517, ,26168765,305832079
67 8418910 20-CM-PSD,DESEMBPRESTAMOS: 05053207417, ,281399597,587231676
0 4477018 97-SL-STO,DEBITO X OPERACCAMBIOS,434340281, ,152891395
56 8421163 00-SL-STO,TRANSFERENCIAS INTERNACIONALES,198000, ,152693395
69 116047 73-PUE-DFI,CHEQUE DEPN/B69 116047,16904415, ,135788980
0 18033080 93-K95FLM-MJV,DEPOSITO EFECTIVO-, ,55054500,190843480
0 18033080 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,18139370,208982850
0 18033081 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,9713447,218696297
0 18033081 93-K95FLM-MJV,DEPOSITO CHQN/BCO-113, ,108996321,327692618
69 116165 88-K95FLM-JRU,PAGO CHEQUE No116165,2443000, ,325249618
54 8422899 60-SL-LZO,DB X CUOTA:05053198117011,1500000, ,323749618
0 18033082 93-K95FLM-MJV,DEPOSITO EFECTIVO-, ,3800,323753418
0 18033086 93-K95FLM-MJV,DEPOSITO EFECTIVO-, ,34876000,358629418
0 18033086 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,17880882,376510300
69 116094 73-PUE-DFI,CHEQUE DEPN/B69 116094,17158000, ,359352300
0 18033085 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,450000,359802300
0 18033083 93-K95FLM-MJV,DEPOSITO CHQ24HS-, ,12854183,372656483
69 116157 73-K95FLM-MJV,CHEQUE DEPN/B69 116157,380000, ,372276483
0 18033084 93-K95FLM-MJV,DEPOSITO CHQN/BCO-053, ,380000,372656483
69 116050 73-PUE-DFI,CHEQUE DEPN/B69 116050,20507078, ,352149405
6 772379 89-CM-ABO,Provisi�n de Chequeras,240000, ,351909405
